id;grupo;tipo;valor_inicial;valor_final;mensagem
1;1;baixo;0;1;Pessoa participativa, que resolve problemas e dificuldades preventivamente, criando um clima de otimismo e produtividade à sua volta. Com isso, agiliza seu tempo detectando um problema em seu início. Trabalha a causa, buscando evitar a repetição. 
2;1;intermediario;2;3;Pessoa com adequada capacidade de resolver problemas de forma preventiva. Por vezes pode buscar a prevenção e em outras pode ficar apagando incêndio. É necessário ficar atento(a) e buscar trabalhar de forma mais preventiva do que corretiva.
3;1;alto;4;6;Pessoa essencialmente reativa. Está sempre ocupada resolvendo problemas e dificuldades de última hora, criando um clima de estresse e baixa produtividade à sua volta. Trabalha muito, causa muito movimento, ocasiona muito desperdício de tempo e recursos e pode obter poucos resultados. Esta tendência pode ser causada por uma necessidade de provar a si mesmo sua capacidade de “quebrar galhos”, de ser indispensável, de não tomar medidas preventivas para evitar a ocorrência de problemas.
4;2;baixo;0;1;Apresenta boa concentração, mantendo seu pensamento num único assunto ou tarefa, com disciplina, sem permitir que esse se desvie para outras coisas, podendo trabalhar em ambiente isolado ou movimentado sem maiores dificuldades, pois não se dispersará. Consequentemente isto gera aumento de produtividade, clareza de objetivo, otimização do tempo, respostas melhores e eficiência na entrega de tarefas e resultados. 
5;2;intermediario;2;3;Sua capacidade de se concentrar, mantendo seu pensamento num único assunto, com disciplina, sem permitir que esse se desvie para outras coisas, está razoável, pois necessita que você busque meios para minimizar sua dispersão. Procure se desligar do que está acontecendo à sua volta e se concentrar mais em seu trabalho/atividade. Poderá não ter o aumento de produtividade necessário, e a não otimização do tempo, na entrega de tarefas e resultados. Esse tipo de atitude não é nativo da maioria das pessoas, por isso é importante estar atento(a).
6;2;alto;4;6;Pessoa com tendência à dispersão, dificuldade de concentração e necessidade de isolamento para trabalhar. Perde o interesse do que está fazendo facilmente, mesmo que seja a movimentação das pessoas à sua volta. Ao ser interrompido em meio a um trabalho necessita de um reaquecimento para voltar a se concentrar, pois não mantém seu pensamento em um único assunto, com disciplina, sem permitir que esse se desvie para outras coisas. Consequentemente isto gera queda de produtividade, pouca, ou nenhuma, otimização do tempo, comprometendo na entrega de tarefas e resultados. Esse tipo de atitude não é nativo da maioria das pessoas, por isso é importante estar atento(a).
7;3;baixo;0;1;Pessoa com bom nível de assertividade, que se refere à capacidade de ter confiança em si mesmo para poder dizer não, sempre que for necessário. A pessoa que tem facilidade em dizer NÃO sabe colocar limites e prioriza seus trabalhos, criando oportunidades para si, para os outros e para a empresa. Saber dizer “não” significa conhecer e respeitar os próprios limites e, mais do que isso, fazer com que os OUTROS reconheçam e respeitem esses limites.
8;3;intermediario;2;3;Observe seu nível de assertividade (que se refere à capacidade de ter confiança em si mesmo para poder dizer não, sempre que for necessário), pois o mesmo se apresenta acima do esperado, com certa necessidade de aceitação e preocupação em agradar os outros. Por apresentar alguma dificuldade em dizer NÃO, poderá desrespeitar suas prioridades no trabalho, criando dificuldades para si, para os outros e para a empresa. Por ter dificuldade em dizer “não” pouco conhece e respeita os próprios limites e, mais do que isso, faz com que os OUTROS pouco reconheçam e respeitem esses limites.
9;3;alto;4;6;Pessoa que indica baixo nível de assertividade (se refere à capacidade de ter confiança em si mesmo para poder dizer não, sempre que for necessário), com elevada necessidade de aceitação e preocupação constante em agradar os outros. A pessoa que tem dificuldade em dizer NÃO acaba desrespeitando suas prioridades no trabalho, criando dificuldades para si, para os outros e para a empresa. Não saber dizer “não” significa não conhecer e respeitar os próprios limites e, mais do que isso, fazer com que os OUTROS não reconheçam e respeitem esses limites.
10;4;baixo;0;1;Revela facilidade em transmitir ideias, instruções, informações ou orientações de forma clara, objetiva e concisa. Percebe-se ser assertivo(a), utilizando de linguagem adequada, com informações completas, o que otimiza seu tempo. Demonstra facilidade em expressar os sentimentos, pensamentos, e obter respostas, ou seja, de se relacionar com o meio.
